id,release_date,movie,production_budget,domestic_gross,worldwide_gross
16,4-Apr-14,Captain America: The Winter Soldier,"$170,000,000 ","$259,746,958 ","$714,401,889 "
17,11-Jul-14,Dawn of the Planet of the Apes,"$170,000,000 ","$208,545,589 ","$710,644,566 "
18,10-Nov-04,The Polar Express,"$170,000,000 ","$187,224,605 ","$311,365,187 "
19,1-Jun-12,Snow White and the Huntsman,"$170,000,000 ","$155,136,755 ","$401,021,746 "
20,1-Jul-03,Terminator 3: Rise of the Machines,"$170,000,000 ","$150,358,296 ","$433,058,296 "
21,7-May-04,Van Helsing,"$170,000,000 ","$120,150,546 ","$300,150,546 "
22,29-Mar-19,Dumbo,"$170,000,000 ","$113,883,318 ","$345,004,422 "
23,22-May-15,Tomorrowland,"$170,000,000 ","$93,436,322 ","$206,627,518 "
24,14-Feb-19,Alita: Battle Angel,"$170,000,000 ","$85,710,210 ","$402,976,036 "
25,31-May-19,Godzilla: King of the Monsters,"$170,000,000 ","$85,576,941 ","$299,276,941 "
26,27-May-16,Alice Through the Looking Glass,"$170,000,000 ","$77,042,381 ","$276,928,112 "
27,21-May-10,Shrek Forever After,"$165,000,000 ","$238,736,787 ","$756,244,673 "
28,4-Nov-16,Doctor Strange,"$165,000,000 ","$232,641,920 ","$676,404,566 "
29,7-Nov-14,Big Hero 6,"$165,000,000 ","$222,527,828 ","$652,127,828 "
30,26-Mar-10,How to Train Your Dragon,"$165,000,000 ","$217,581,232 ","$494,870,992 "
31,2-Nov-12,Wreck-It Ralph,"$165,000,000 ","$189,412,677 ","$496,511,521 "
32,5-Nov-14,Interstellar,"$165,000,000 ","$188,017,894 ","$666,379,375 "
33,24-Jun-16,Independence Day: Resurgence,"$165,000,000 ","$103,144,286 ","$384,169,424 "
34,29-Jul-11,Cowboys and Aliens,"$163,000,000 ","$100,368,560 ","$176,038,324 "
35,17-Mar-17,Beauty and the Beast,"$160,000,000 ","$504,014,165 ","$1,259,199,706 "
36,21-Dec-18,Aquaman,"$160,000,000 ","$335,061,807 ","$1,146,894,640 "
37,17-May-07,Shrek the Third,"$160,000,000 ","$322,719,944 ","$807,330,936 "
38,16-Jul-10,Inception,"$160,000,000 ","$292,576,195 ","$835,524,642 "
39,20-Nov-15,The Hunger Games: Mockingjay - Part 2,"$160,000,000 ","$281,723,902 ","$648,986,787 "
40,24-May-13,Fast and Furious 6,"$160,000,000 ","$238,679,850 ","$789,300,444 "
41,16-May-14,Godzilla,"$160,000,000 ","$200,676,069 ","$529,076,069 "
42,3-Jun-11,X-Men: First Class,"$160,000,000 ","$146,408,305 ","$355,408,305 "
43,25-Dec-08,The Curious Case of Benjamin Button,"$160,000,000 ","$127,509,326 ","$329,631,958 "
44,14-Jul-10,The Sorcerer's Apprentice,"$160,000,000 ","$63,150,991 ","$217,986,320 "
45,12-May-06,Poseidon,"$160,000,000 ","$60,674,817 ","$181,674,817 "
46,10-Jun-16,Warcraft,"$160,000,000 ","$47,225,655 ","$425,522,281 "
47,30-Sep-16,Deepwater Horizon,"$156,000,000 ","$61,433,527 ","$122,603,824 "
48,10-Dec-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$155,000,000 ","$104,386,950 ","$418,186,950 "
49,1-Jul-15,Terminator: Genisys,"$155,000,000 ","$89,760,956 ","$432,150,894 "
50,23-Mar-18,Pacific Rim: Uprising,"$155,000,000 ","$59,874,525 ","$290,930,148 "
51,24-Nov-04,Alexander,"$155,000,000 ","$34,297,191 ","$167,297,191 "
52,14-Jul-17,War for the Planet of the Apes,"$152,000,000 ","$146,880,162 ","$489,592,267 "
53,25-May-01,Pearl Harbor,"$151,500,000 ","$198,539,855 ","$449,239,855 "
54,2-Jul-07,Transformers,"$151,000,000 ","$319,246,193 ","$708,272,592 "
55,2-Jun-17,Wonder Woman,"$150,000,000 ","$412,563,408 ","$821,133,378 "
56,22-Nov-13,Frozen,"$150,000,000 ","$400,738,009 ","$1,272,469,910 "
57,4-Mar-16,Zootopia,"$150,000,000 ","$341,268,248 ","$1,019,429,616 "
58,11-Jul-07,Harry Potter and the Order of the Phoenix,"$150,000,000 ","$292,137,260 ","$943,076,457 "
59,18-Nov-05,Harry Potter and the Goblet of Fire,"$150,000,000 ","$290,201,752 ","$897,099,794 "
60,15-May-03,The Matrix Reloaded,"$150,000,000 ","$281,553,689 ","$738,576,929 "
61,14-Dec-07,I am Legend,"$150,000,000 ","$256,393,010 ","$585,532,684 "
62,23-Nov-16,Moana,"$150,000,000 ","$248,757,044 ","$637,517,365 "
63,1-Jul-08,Hancock,"$150,000,000 ","$227,946,274 ","$624,234,272 "
64,15-Jul-05,Charlie and the Chocolate Factory,"$150,000,000 ","$206,459,076 ","$475,825,484 "
65,29-Jun-07,Ratatouille,"$150,000,000 ","$206,445,654 ","$626,549,695 "
66,8-Nov-13,Thor: The Dark World,"$150,000,000 ","$206,362,140 ","$644,602,516 "
67,15-Jun-05,Batman Begins,"$150,000,000 ","$205,343,774 ","$359,142,722 "
68,31-Jul-15,Mission: ImpossibleâRogue Nation,"$150,000,000 ","$195,042,377 ","$688,858,992 "
69,21-Jul-17,Dunkirk,"$150,000,000 ","$190,068,280 ","$499,837,368 "
70,6-May-11,Thor,"$150,000,000 ","$181,030,624 ","$449,326,618 "
71,7-Nov-08,Madagascar: Escape 2 Africa,"$150,000,000 ","$180,174,880 ","$599,680,774 "
72,1-May-09,X-Men Origins: Wolverine,"$150,000,000 ","$179,883,157 ","$374,825,760 "
73,22-May-09,Night at the Museum: Battle of the Smithsonian,"$150,000,000 ","$177,243,721 ","$402,231,063 "
74,26-May-11,Kung Fu Panda 2,"$150,000,000 ","$165,249,063 ","$664,837,547 "
75,15-May-15,Mad Max: Fury Road,"$150,000,000 ","$153,636,354 ","$370,098,020 "
76,10-May-19,PokÃ©mon: Detective Pikachu,"$150,000,000 ","$139,507,806 ","$411,258,433 "
77,5-Nov-03,The Matrix Revolutions,"$150,000,000 ","$139,270,910 ","$427,300,260 "
78,29-Mar-18,Ready Player One,"$150,000,000 ","$137,690,172 ","$579,290,136 "
79,4-Nov-05,Chicken Little,"$150,000,000 ","$135,386,665 ","$310,043,823 "
80,5-May-06,Mission: Impossible III,"$150,000,000 ","$133,501,348 ","$397,501,348 "
81,15-May-09,Angels & Demons,"$150,000,000 ","$133,375,846 ","$490,875,846 "
82,14-May-04,Troy,"$150,000,000 ","$133,298,577 ","$484,161,265 "
83,1-Jul-10,The Last Airbender,"$150,000,000 ","$131,772,187 ","$319,713,881 "
84,2-Nov-07,Bee Movie,"$150,000,000 ","$126,631,277 ","$287,594,577 "
85,24-Jul-09,G-Force,"$150,000,000 ","$119,436,770 ","$292,817,841 "
86,21-Nov-08,Bolt,"$150,000,000 ","$114,053,579 ","$328,015,029 "
87,30-Mar-12,Wrath of the Titans,"$150,000,000 ","$83,670,083 ","$305,270,083 "
88,16-Nov-07,Beowulf,"$150,000,000 ","$82,280,579 ","$195,080,579 "
89,11-May-12,Dark Shadows,"$150,000,000 ","$79,727,149 ","$238,202,668 "
90,28-Jun-13,White House Down,"$150,000,000 ","$73,103,784 ","$205,440,387 "
91,12-Feb-10,The Wolfman,"$150,000,000 ","$62,189,884 ","$142,634,358 "
92,17-Feb-17,The Great Wall,"$150,000,000 ","$45,157,105 ","$334,486,852 "
93,9-Oct-15,Pan,"$150,000,000 ","$35,088,320 ","$151,525,973 "
94,11-Mar-11,Mars Needs Moms,"$150,000,000 ","$21,392,758 ","$39,549,758 "
95,31-Dec-20,Moonfall,"$150,000,000 ",$0 ,$0 
96,3-Nov-06,Flushed Away,"$149,000,000 ","$64,665,672 ","$179,357,126 "
97,8-Jun-12,Madagascar 3: Europe's Most Wanted,"$145,000,000 ","$216,391,482 ","$746,921,271 "
98,16-Dec-11,Mission: ImpossibleâGhost Protocol,"$145,000,000 ","$209,397,903 ","$694,713,230 "
99,13-Jun-14,How to Train Your Dragon 2,"$145,000,000 ","$177,002,924 ","$614,586,270 "
100,16-Jun-99,Tarzan,"$145,000,000 ","$171,091,819 ","$448,191,819 "
1,7-Mar-14,Mr. Peabody & Sherman,"$145,000,000 ","$111,506,430 ","$269,806,430 "
2,21-Nov-12,Rise of the Guardians,"$145,000,000 ","$103,412,758 ","$306,900,902 "
3,8-Apr-05,Sahara,"$145,000,000 ","$68,671,925 ","$121,671,925 "
4,15-Jul-16,Ghostbusters,"$144,000,000 ","$128,350,574 ","$229,008,658 "
5,22-Nov-02,Die Another Day,"$142,000,000 ","$160,942,139 ","$431,942,139 "
6,9-Jul-03,Pirates of the Caribbean: The Curse of the Black Pearl,"$140,000,000 ","$305,411,224 ","$634,954,103 "
7,8-May-09,Star Trek,"$140,000,000 ","$257,730,019 ","$386,839,614 "
8,1-Jul-98,Armageddon,"$140,000,000 ","$201,578,182 ","$554,600,000 "
9,3-Jul-02,Men in Black 2,"$140,000,000 ","$190,418,803 ","$441,767,803 "
10,22-Jul-11,Captain America: The First Avenger,"$140,000,000 ","$176,654,505 ","$370,569,776 "
11,29-Jan-16,Kung Fu Panda 3,"$140,000,000 ","$143,528,619 ","$517,599,142 "
12,10-Jul-98,Lethal Weapon 4,"$140,000,000 ","$130,444,603 ","$285,400,000 "
13,27-Mar-13,G.I. Joe: Retaliation,"$140,000,000 ","$122,523,060 ","$375,740,705 "
14,5-Dec-03,The Last Samurai,"$140,000,000 ","$111,110,575 ","$456,810,575 "
15,21-Dec-05,Fun With Dick And Jane,"$140,000,000 ","$110,550,000 ","$203,018,919 "
16,12-Dec-14,Exodus: Gods and Kings,"$140,000,000 ","$65,014,513 ","$268,314,513 "
17,1-Jul-16,The BFG,"$140,000,000 ","$55,483,770 ","$199,646,680 "
18,26-Feb-16,Gods of Egypt,"$140,000,000 ","$31,153,464 ","$138,836,756 "
19,3-May-02,Spider-Man,"$139,000,000 ","$403,706,375 ","$821,706,375 "
20,6-Mar-09,Watchmen,"$138,000,000 ","$107,509,799 ","$186,976,250 "
21,29-Jul-05,Stealth,"$138,000,000 ","$32,116,746 ","$76,416,746 "
22,13-Jun-08,The Incredible Hulk,"$137,500,000 ","$134,806,913 ","$265,573,859 "
23,20-Jun-03,Hulk,"$137,000,000 ","$132,177,234 ","$245,075,434 "
24,11-Jul-01,Final Fantasy: The Spirits Within,"$137,000,000 ","$32,131,830 ","$85,131,830 "
25,16-Nov-12,"The Twilight Saga: Breaking Dawn, Part 2","$136,200,000 ","$292,324,737 ","$829,724,737 "
26,22-Mar-13,The Croods,"$135,000,000 ","$187,168,425 ","$573,068,425 "
27,25-Dec-15,The Revenant,"$135,000,000 ","$183,637,894 ","$532,938,302 "
28,19-Nov-99,The World is Not Enough,"$135,000,000 ","$126,930,660 ","$361,730,660 "
29,4-Mar-11,Rango,"$135,000,000 ","$123,477,607 ","$245,724,600 "
30,14-Nov-03,Master and Commander: The Far Side of the World,"$135,000,000 ","$93,926,386 ","$212,912,137 "
31,17-Jul-13,Turbo,"$135,000,000 ","$83,028,130 ","$286,896,578 "
32,3-Jun-16,Teenage Mutant Ninja Turtles: Out of the Shadows,"$135,000,000 ","$82,051,601 ","$245,328,374 "
33,18-Nov-11,Happy Feet Two,"$135,000,000 ","$64,006,466 ","$157,956,466 "
34,28-Jul-06,Miami Vice,"$135,000,000 ","$63,478,838 ","$163,818,556 "
35,2-Nov-18,The Nutcracker and the Four Realms,"$132,900,000 ","$54,858,851 ","$170,293,899 "
36,29-Jun-05,War of the Worlds,"$132,000,000 ","$234,280,354 ","$606,836,535 "
37,26-Nov-14,Penguins of Madagascar,"$132,000,000 ","$83,350,911 ","$366,942,531 "
38,22-Nov-13,The Hunger Games: Catching Fire,"$130,000,000 ","$424,668,047 ","$864,868,047 "
39,4-Jun-04,Harry Potter and the Prisoner of Azkaban,"$130,000,000 ","$249,757,726 ","$796,907,323 "
40,3-Aug-07,The Bourne Ultimatum,"$130,000,000 ","$227,471,070 ","$444,043,396 "
41,6-Jul-18,Ant-Man and the Wasp,"$130,000,000 ","$216,648,740 ","$623,144,660 "
42,6-Jun-08,Kung Fu Panda,"$130,000,000 ","$215,434,591 ","$631,910,531 "
43,17-Jul-15,Ant-Man,"$130,000,000 ","$180,202,163 ","$518,858,449 "
44,27-Mar-15,Home,"$130,000,000 ","$177,397,510 ","$385,997,896 "
45,19-Dec-18,Mary Poppins Returns,"$130,000,000 ","$171,958,438 ","$341,528,518 "
46,28-Oct-11,Puss in Boots,"$130,000,000 ","$149,260,504 ","$554,987,477 "
47,5-Nov-10,Megamind,"$130,000,000 ","$148,415,853 ","$321,887,208 "
48,18-Jul-03,Bad Boys II,"$130,000,000 ","$138,540,870 ","$273,271,982 "
49,11-Apr-14,Rio 2,"$130,000,000 ","$131,538,435 ","$492,846,291 "
50,23-Jul-10,Salt,"$130,000,000 ","$118,311,368 ","$290,650,494 "
51,28-Mar-14,Noah,"$130,000,000 ","$101,200,044 ","$352,831,065 "
52,21-Dec-11,The Adventures of Tintin,"$130,000,000 ","$77,591,831 ","$373,993,951 "
53,31-May-13,After Earth,"$130,000,000 ","$60,522,097 ","$251,499,665 "
54,26-Nov-08,Australia,"$130,000,000 ","$49,554,002 ","$215,080,810 "
55,19-Jul-13,R.I.P.D.,"$130,000,000 ","$33,618,855 ","$79,076,678 "
56,22-Feb-19,How to Train Your Dragon: The Hidden World,"$129,000,000 ","$160,791,800 ","$519,258,283 "
57,18-Nov-11,"The Twilight Saga: Breaking Dawn, Part 1","$127,500,000 ","$281,287,133 ","$689,420,051 "
58,19-May-00,Dinosaur,"$127,500,000 ","$137,748,063 ","$356,148,063 "
59,3-Mar-17,Logan,"$127,000,000 ","$226,277,068 ","$615,461,394 "
60,19-Dec-14,Night at the Museum: Secret of the Tomb,"$127,000,000 ","$113,746,621 ","$353,756,621 "
61,15-Jul-11,Harry Potter and the Deathly Hallows: Part II,"$125,000,000 ","$381,193,157 ","$1,341,693,157 "
62,21-Nov-14,The Hunger Games: Mockingjay - Part 1,"$125,000,000 ","$337,135,885 ","$766,575,131 "
63,16-Nov-01,Harry Potter and the Sorcererâs Stone,"$125,000,000 ","$317,871,467 ","$975,047,606 "
64,19-Nov-10,Harry Potter and the Deathly Hallows: Part I,"$125,000,000 ","$296,131,568 ","$960,431,568 "
65,19-May-06,The Da Vinci Code,"$125,000,000 ","$217,536,138 ","$767,820,459 "
66,2-May-03,X-Men 2,"$125,000,000 ","$214,949,694 ","$406,875,536 "
67,29-Apr-11,Fast Five,"$125,000,000 ","$210,031,325 ","$630,163,454 "
68,8-Aug-14,Teenage Mutant Ninja Turtles,"$125,000,000 ","$191,204,754 ","$485,004,754 "
69,16-Dec-11,Sherlock Holmes: A Game of Shadows,"$125,000,000 ","$186,848,418 ","$535,663,443 "
70,28-May-04,The Day After Tomorrow,"$125,000,000 ","$186,740,799 ","$556,319,450 "
71,31-Mar-17,The Boss Baby,"$125,000,000 ","$175,003,033 ","$510,878,762 "
72,1-Apr-10,Clash of the Titans,"$125,000,000 ","$163,214,888 ","$493,214,888 "
73,4-Nov-16,Trolls,"$125,000,000 ","$153,707,064 ","$344,150,134 "
74,19-May-98,Godzilla,"$125,000,000 ","$136,314,294 ","$376,000,000 "
75,8-Jun-12,Prometheus,"$125,000,000 ","$126,477,084 ","$402,448,265 "
76,10-Aug-12,The Bourne Legacy,"$125,000,000 ","$113,203,870 ","$280,355,920 "
77,20-Jun-97,Batman & Robin,"$125,000,000 ","$107,325,195 ","$238,317,814 "
78,13-Jul-18,Skyscraper,"$125,000,000 ","$68,420,120 ","$304,115,534 "
79,3-Aug-12,Total Recall,"$125,000,000 ","$58,877,969 ","$211,856,088 "
80,21-Dec-16,Assassinâs Creed,"$125,000,000 ","$54,647,948 ","$240,759,682 "
81,13-Jan-17,Monster Trucks,"$125,000,000 ","$33,370,166 ","$61,642,798 "
82,27-Aug-99,The 13th Warrior,"$125,000,000 ","$32,698,899 ","$61,698,899 "
83,17-Nov-00,How the Grinch Stole Christmas,"$123,000,000 ","$260,044,825 ","$345,141,403 "
84,24-May-00,Mission: Impossible 2,"$120,000,000 ","$215,409,889 ","$549,588,516 "
85,30-Jun-00,The Perfect Storm,"$120,000,000 ","$182,618,434 ","$328,711,434 "
86,29-Jul-16,Jason Bourne,"$120,000,000 ","$162,192,920 ","$416,168,316 "
87,15-Jun-07,Fantastic Four: Rise of the Silver Surfer,"$120,000,000 ","$131,921,738 ","$289,480,691 "
88,21-Nov-12,Life of Pi,"$120,000,000 ","$124,987,022 ","$620,912,003 "
89,16-Feb-07,Ghost Rider,"$120,000,000 ","$115,802,596 ","$229,545,589 "
